network_ids,map_name,sig_counts,nonsig_counts,total_voxels,proportion,se
1,global_age,219,14763,14982,0.01461754104925911,9.805159849682664e-4
2,global_age,188,10374,10562,0.01779965915546298,0.0012865681672821865
3,global_age,119,12764,12883,0.009236978964526896,8.428326832392853e-4
4,global_age,211,9071,9282,0.02273216979099332,0.0015470575335899167
5,global_age,16,1303,1319,0.012130401819560273,0.0030141510033264577
6,global_age,588,9732,10320,0.056976744186046514,0.002281761075447378
7,global_age,998,20000,20998,0.04752833603200305,0.001468295174156376
1,global_sex,73,14909,14982,0.004872513683086371,5.688935349059932e-4
2,global_sex,39,10523,10562,0.0036924824843779587,5.901777658085197e-4
3,global_sex,61,12822,12883,0.00473492199021967,6.048076748227534e-4
4,global_sex,75,9207,9282,0.00808015513897867,9.292388467413081e-4
5,global_sex,4,1315,1319,0.003032600454890068,0.0015139993153039288
6,global_sex,63,10257,10320,0.006104651162790698,7.667625738569698e-4
7,global_sex,98,20900,20998,0.004667111153443185,4.7034798067218455e-4
1,unscaled_age,219,14763,14982,0.01461754104925911,9.805159849682664e-4
2,unscaled_age,188,10374,10562,0.01779965915546298,0.0012865681672821865
3,unscaled_age,119,12764,12883,0.009236978964526896,8.428326832392853e-4
4,unscaled_age,211,9071,9282,0.02273216979099332,0.0015470575335899167
5,unscaled_age,16,1303,1319,0.012130401819560273,0.0030141510033264577
6,unscaled_age,588,9732,10320,0.056976744186046514,0.002281761075447378
7,unscaled_age,998,20000,20998,0.04752833603200305,0.001468295174156376
1,unscaled_sex,73,14909,14982,0.004872513683086371,5.688935349059932e-4
2,unscaled_sex,39,10523,10562,0.0036924824843779587,5.901777658085197e-4
3,unscaled_sex,61,12822,12883,0.00473492199021967,6.048076748227534e-4
4,unscaled_sex,75,9207,9282,0.00808015513897867,9.292388467413081e-4
5,unscaled_sex,4,1315,1319,0.003032600454890068,0.0015139993153039288
6,unscaled_sex,63,10257,10320,0.006104651162790698,7.667625738569698e-4
7,unscaled_sex,98,20900,20998,0.004667111153443185,4.7034798067218455e-4
