network_ids,map_name,sig_counts,nonsig_counts,total_voxels,proportion,se
4100,global_age,10,1147,1157,0.00864304235090752,0.002721332889684851
4200,global_age,6,250,256,0.0234375,0.009455525747576701
7000,global_age,163,1115,1278,0.12754303599374023,0.00933114536574427
7010,global_age,62,1472,1534,0.04041720990873533,0.005028190351265392
7020,global_age,20,403,423,0.04728132387706856,0.010319459949022556
7100,global_age,68,1722,1790,0.03798882681564246,0.004518470835218777
4100,global_sex,37,1120,1157,0.03197925669835782,0.005172611189362355
4200,global_sex,1,255,256,0.00390625,0.003898613140300613
7000,global_sex,10,1268,1278,0.00782472613458529,0.0024646959192916257
7010,global_sex,9,1525,1534,0.005867014341590613,0.0019499260314768067
7020,global_sex,0,423,423,0,0
7100,global_sex,47,1743,1790,0.026256983240223464,0.003779358379477731
4100,unscaled_age,10,1147,1157,0.00864304235090752,0.002721332889684851
4200,unscaled_age,6,250,256,0.0234375,0.009455525747576701
7000,unscaled_age,163,1115,1278,0.12754303599374023,0.00933114536574427
7010,unscaled_age,62,1472,1534,0.04041720990873533,0.005028190351265392
7020,unscaled_age,20,403,423,0.04728132387706856,0.010319459949022556
7100,unscaled_age,68,1722,1790,0.03798882681564246,0.004518470835218777
4100,unscaled_sex,37,1120,1157,0.03197925669835782,0.005172611189362355
4200,unscaled_sex,1,255,256,0.00390625,0.003898613140300613
7000,unscaled_sex,10,1268,1278,0.00782472613458529,0.0024646959192916257
7010,unscaled_sex,9,1525,1534,0.005867014341590613,0.0019499260314768067
7020,unscaled_sex,0,423,423,0,0
7100,unscaled_sex,47,1743,1790,0.026256983240223464,0.003779358379477731
