bblid,scanid,idemoBehAllEmoCorrectAverage,idemoBehAllEmoCorrectCount,idemoBehAllEmoCorrectMedian,idemoBehAllEmoCorrectStddev,idemoBehAllEmoIncorrectAverage,idemoBehAllEmoIncorrectCount,idemoBehAllEmoIncorrectMedian,idemoBehAllEmoIncorrectStddev,idemoBehAllEmoNrCount,idemoBehAngerCorrectAverage,idemoBehAngerCorrectCount,idemoBehAngerCorrectMedian,idemoBehAngerCorrectStddev,idemoBehAngerIncorrectAverage,idemoBehAngerIncorrectCount,idemoBehAngerIncorrectMedian,idemoBehAngerIncorrectStddev,idemoBehAngerNrCount,idemoBehFearCorrectAverage,idemoBehFearCorrectCount,idemoBehFearCorrectMedian,idemoBehFearCorrectStddev,idemoBehFearIncorrectAverage,idemoBehFearIncorrectCount,idemoBehFearIncorrectMedian,idemoBehFearIncorrectStddev,idemoBehFearNrCount,idemoBehHappyCorrectAverage,idemoBehHappyCorrectCount,idemoBehHappyCorrectMedian,idemoBehHappyCorrectStddev,idemoBehHappyIncorrectAverage,idemoBehHappyIncorrectCount,idemoBehHappyIncorrectMedian,idemoBehHappyIncorrectStddev,idemoBehHappyNrCount,idemoBehNoECorrectAverage,idemoBehNoECorrectCount,idemoBehNoECorrectMedian,idemoBehNoECorrectStddev,idemoBehNoEIncorrectAverage,idemoBehNoEIncorrectCount,idemoBehNoEIncorrectMedian,idemoBehNoEIncorrectStddev,idemoBehNoENrCount,idemoBehSadCorrectAverage,idemoBehSadCorrectCount,idemoBehSadCorrectMedian,idemoBehSadCorrectStddev,idemoBehSadIncorrectAverage,idemoBehSadIncorrectCount,idemoBehSadIncorrectMedian,idemoBehSadIncorrectStddev,idemoBehSadNrCount,idemoBehNonthreatCorrectAverage,idemoBehNonthreatCorrectCount,idemoBehNonthreatCorrectMedian,idemoBehNonthreatCorrectStddev,idemoBehNonthreatIncorrectAverage,idemoBehNonthreatIncorrectCount,idemoBehNonthreatIncorrectMedian,idemoBehNonthreatIncorrectStddev,idemoBehNonthreatNrCount,idemoBehThreatAllNrCount,idemoBehThreatCorrectAverage,idemoBehThreatCorrectCount,idemoBehThreatCorrectMedian,idemoBehThreatCorrectStddev,idemoBehThreatIncorrectAverage,idemoBehThreatIncorrectCount,idemoBehThreatIncorrectMedian,idemoBehThreatIncorrectStddev
80425,2726,2234.6204,54,1991,804.8301,2813.1833,6,2332.75,1415.2671,0,2149.48,10,1844.95,845.70654,4366.65,2,4366.65,1517.946,0,2424.518,11,2444.2,631.1555,2490.1,1,2490.1,0,0,1955.0583,12,1822.6499,677.0248,0,0,0,0,0,1863.85,12,1852.2,700.3204,0,0,0,0,0,2964.2334,9,3086.7,838.5753,1885.2333,3,1927.6,313.5044,0,2387.562,21,2495.2,891.77686,1885.2333,3,1927.6,313.5044,0,0,2293.5476,21,1955.2,735.41785,3741.1333,3,3293.3,1525.088
80498,3013,2459.5076,53,2311.3,831.1124,3831.9834,6,3756.65,842.6873,1,2594.27,10,2399.75,923.4617,3245.1,1,3245.1,0,1,2517.7817,11,2422.3,940.6908,3376,1,3376,0,0,2138.2183,11,2090.6,656.9783,4619.9,1,4619.9,0,0,2735.8445,9,2923.4,842.3627,3916.9666,3,4137.3,1085.3059,0,2381.05,12,2131.35,813.8839,0,0,0,0,0,2264.913,23,2090.6,736.73425,4619.9,1,4619.9,0,0,1,2554.2048,21,2422.3,909.7986,3310.55,2,3310.55,92.56021
80537,2823,2197.449,55,2148.8,645.22736,2801.22,5,2938.3,1075.0212,0,1854.875,12,1921.65,361.89072,0,0,0,0,0,2379.42,10,2189.75,765.69025,1713.8999,2,1713.8999,404.04083,0,2126.875,12,2086.7,559.8694,0,0,0,0,0,2352.318,11,2252.4,757.7407,3808,1,3808,0,0,2340.9,10,2279.5,691.6603,3385.15,2,3385.15,631.9413,0,2224.1592,22,2189.85,617.3442,3385.15,2,3385.15,631.9413,0,0,2093.3044,22,2042.45,625.5646,1713.8999,2,1713.8999,404.04083
80557,3476,2340.309,55,2313,533.6203,3108.0752,4,2760.4,1553.8895,1,2186.8333,12,2065.3,476.30392,0,0,0,0,0,2172.5583,12,2165.0498,378.53223,0,0,0,0,0,2199.6833,12,2233.7,316.27603,0,0,0,0,0,2512.05,12,2559.1,521.4196,0,0,0,0,0,2837.6428,7,2761.9,843.691,3108.0752,4,2760.4,1553.8895,1,2434.721,19,2351.6,631.1611,3108.0752,4,2760.4,1553.8895,1,0,2179.6958,24,2132,420.8116,0,0,0,0
80575,2725,2556.486,57,2516,780.36664,2511.4502,2,2511.4502,417.40518,1,2615.9333,12,2586.75,776.5159,0,0,0,0,0,2501.6416,12,2404,794.97174,0,0,0,0,0,2356.0083,12,2346.05,498.87878,0,0,0,0,0,2447.63,10,2517.95,823.0947,2806.6,1,2806.6,0,1,2869.1272,11,2954,996.4125,2216.3,1,2216.3,0,0,2601.413,23,2458.4,802.75433,2216.3,1,2216.3,0,0,0,2558.7876,24,2516.6,770.73944,0,0,0,0
80603,2821,2214.8525,59,2081.7,739.7549,4988.4,1,4988.4,0,0,2083.1582,12,2135.35,325.95374,0,0,0,0,0,2365.3584,12,2130.85,918.6576,0,0,0,0,0,1894.4584,12,2003.3999,364.3973,0,0,0,0,0,1999.2084,12,1821.55,593.6716,0,0,0,0,0,2779.1,11,2642.8,1008.8773,4988.4,1,4988.4,0,0,2317.5479,23,2091.4,856.2701,4988.4,1,4988.4,0,0,0,2224.2583,24,2130.85,689.353,0,0,0,0
80607,2647,2281.8118,51,2044.3,988.36304,3222.25,4,3166.9,2034.8988,5,2173.009,11,2135,682.50323,5321.1,1,5321.1,0,0,2989.5547,11,2866.2,1047.286,0,0,0,0,1,1900.275,8,1768.05,1080.7969,0,0,0,0,4,1949.9,12,1789.25,1063.4786,0,0,0,0,0,2331.4668,9,1989.8,745.84875,2522.6333,3,1742.4,1809.541,0,2128.553,17,1819,915.64966,2522.6333,3,1742.4,1809.541,4,1,2581.2817,22,2329.4502,958.5031,5321.1,1,5321.1,0
80680,2739,1944.7518,56,1889.2,596.54736,2361.45,4,2351.25,564.32605,0,1928.591,11,2023.7,403.10437,2308,1,2308,0,0,2390.8364,11,2244.9,850.77606,3061.3,1,3061.3,0,0,1616.6416,12,1592.15,295.2523,0,0,0,0,0,1735.4636,11,1906,494.56235,2394.5,1,2394.5,0,0,2082.0544,11,2198.2,559.6405,1682,1,1682,0,0,1839.2305,23,1648.9,492.3984,1682,1,1682,0,0,0,2159.7136,22,2054.75,691.3865,2684.65,2,2684.65,532.6636
80688,3844,2349.3857,56,2161.05,840.7503,2760.175,4,2601,571.60895,0,2161.925,12,1995.5,581.67456,0,0,0,0,0,2793.3635,11,2687.6,1021.14056,3560.5,1,3560.5,0,0,1833.5166,12,1755.9,414.3395,0,0,0,0,0,2316.9546,11,1857.3,901.8062,2769.4,1,2769.4,0,0,2740.68,10,2439.75,905.61066,2355.4,2,2355.4,109.17739,0,2245.8635,22,2161.4502,809.42126,2355.4,2,2355.4,109.17739,0,0,2463.9175,23,2232.8,864.3798,3560.5,1,3560.5,0
80765,3369,2430.8218,55,2247.9,776.7692,4609.467,3,4538.7,154.89027,2,2273.9,11,2099.1,625.77625,0,0,0,0,1,2597.4,9,2481.6,1060.242,4520.6504,2,4520.6504,25.526625,1,2015.375,12,2009.1,364.33182,0,0,0,0,0,2650.475,12,2315.15,787.89764,0,0,0,0,0,2665.0454,11,2583.8,872.3659,4787.1,1,4787.1,0,0,2326.087,23,2156.6,722.7681,4787.1,1,4787.1,0,0,2,2419.475,20,2204.85,840.6418,4520.6504,2,4520.6504,25.526625
80812,2646,2255.9685,54,2204.45,724.4157,3335.54,5,3283.5,1019.7562,1,2211.1091,11,2281.6,584.6893,3294.4,1,3294.4,0,0,2325.1455,11,2408.1,590.61194,3197.2,1,3197.2,0,0,2088.1416,12,2084.9,465.8225,0,0,0,0,0,2123.6555,9,2172.4,650.1016,3395.3667,3,3283.5,1436.6703,0,2522.991,11,2288.4,1174.0448,0,0,0,0,1,2296.113,23,2147.1,885.64154,0,0,0,0,1,0,2268.1272,22,2341.4502,576.45734,3245.7998,2,3245.7998,68.73074
80854,2675,1875.0703,54,1809.65,612.7677,2615.8167,6,2866.6,1044.1222,0,1985.1555,9,1783.7,597.2123,2752.2,3,2670.6,1115.5406,0,1854.05,12,1670.35,613.57825,0,0,0,0,0,1789,12,1809.65,367.03583,0,0,0,0,0,1704.7727,11,1829.2,517.6904,3062.6,1,3062.6,0,0,2091.83,10,2031.05,928.08484,2187.85,2,2187.85,1529.8256,0,1926.65,22,1842.15,680.8313,2187.85,2,2187.85,1529.8256,0,0,1910.2382,21,1724.1,595.10333,2752.2,3,2670.6,1115.5406
80889,3437,2196.3264,53,2142.7,490.64087,3452.4429,7,3315.6,566.6616,0,2275.3635,11,2142.7,561.2314,3336.3,1,3336.3,0,0,2513.1,11,2513.6,514.3641,4338.5,1,4338.5,0,0,1754.7916,12,1776.85,321.06973,0,0,0,0,0,2111.9546,11,2180,262.32898,2681.7,1,2681.7,0,0,2430.4,8,2383.85,352.8824,3452.65,4,3264,421.90085,0,2025.035,20,1966.15,469.97028,3452.65,4,3264,421.90085,0,0,2394.232,22,2431.2,539.23944,3837.4,2,3837.4,708.66235
80895,2753,2337.6018,55,2267.6,696.20123,2832.675,4,2473.5,901.67084,1,2142.5454,11,2009.6,377.87793,2225.7,1,2225.7,0,0,2511.77,10,2387.25,844.2589,2641,1,2641,0,1,2016.875,12,2083,468.36383,0,0,0,0,0,2540.8818,11,2267.6,808.95984,4158,1,4158,0,0,2520.9272,11,2348.6,811.9764,2306,1,2306,0,0,2257.9434,23,2291.9,689.6706,2306,1,2306,0,0,1,2318.3667,21,2210.3,654.1012,2433.35,2,2433.35,293.66147
80961,2632,2701.0833,54,2666.65,848.4628,4306.3,4,4292.9004,397.64444,2,2901.3455,11,3103.7,978.57794,4805.4,1,4805.4,0,0,2416.52,10,2257.2002,760.3882,4262.6,1,4262.6,0,1,3093.6667,12,3155.9,934.81415,0,0,0,0,0,2260.65,12,2293.7002,541.67444,0,0,0,0,0,2836.3,9,2675.2,785.92163,4078.6,2,4078.6,345.91678,1,2983.3667,21,3090.1,862.97986,4078.6,2,4078.6,345.91678,1,1,2670.476,21,2482.3,894.7375,4534,2,4534,383.8174
81005,2644,2089.4019,56,1963.65,780.14374,3689.0752,4,3798.3,825.65784,0,1867.69,10,1842.1,433.2856,3798.3,2,3798.3,501.76303,0,2508.2666,12,2176.3,1287.6545,0,0,0,0,0,1749.5818,11,1735.3,282.88092,4514.1,1,4514.1,0,0,1927.125,12,1626.65,601.0858,0,0,0,0,0,2350.8638,11,2416.5,619.38403,2645.6,1,2645.6,0,0,2050.2227,22,2035.5,561.6748,3579.85,2,3579.85,1321.229,0,0,2217.0955,22,1959.8999,1027.397,3798.3,2,3798.3,501.76303
81043,2750,2419.3176,51,2104.4,987.1066,2581.55,2,2581.55,1130.1687,7,1954.9,11,1762.3,442.48596,1782.4,1,1782.4,0,0,2914.043,7,2579.8,1130.7728,0,0,0,0,5,2446.425,12,2146.2998,1100.4069,0,0,0,0,0,2680.3728,11,2208.8,1211.3271,0,0,0,0,1,2264.18,10,1961.7,817.26074,3380.7,1,3380.7,0,1,2363.5864,22,2062.6,963.92664,3380.7,1,3380.7,0,1,5,2327.9,18,2045.1,893.28156,1782.4,1,1782.4,0
81047,3724,2539.609,56,2304.3,823.0367,3596.125,4,3514.6501,1250.903,0,2811.87,10,2867.45,1168.1208,2551.7002,2,2551.7002,274.92316,0,3193.2273,11,3316.2,948.58905,4997.9,1,4997.9,0,0,2036.4166,12,2004.7,359.74643,0,0,0,0,0,2481.2727,11,2317.6,404.241,4283.2,1,4283.2,0,0,2270.2417,12,2222.7,566.7074,0,0,0,0,0,2153.329,24,2158.9,479.32776,0,0,0,0,0,0,3011.6287,21,2938.9,1049.7753,3367.1,3,2746.1,1425.6306
