bblid,scanid,idemoExclude,idemoExcludeVoxelwise,idemoNoDataExclude,idemoRelMeanRMSMotion,idemoRelMeanRMSMotionExclude,idemoRelMaxRMSMotion,idemoRelMaxRMSMotionExclude,idemoNormCrossCorr,idemoNormCoverage,idemoCoregCrossCorr,idemoCoregCoverage,idemoVoxelwiseCoverageExclude,idemoMeanActivationExclude,idemoRpsMapCorrectionNotApplied
85394,2909,0,0,0,0.0392543,0,0.418745,0,0.84017862,0.9634129483,0.8089908,0.9687970327,0,0,0
83035,2911,0,1,0,0.0358716,0,0.20006,0,0.82506325,0.9464726276,0.79543393,0.9519381252,1,0,0
84365,2922,0,0,0,0.0532391,0,0.405942,0,0.84549692,0.9894348973,0.82944548,0.99164742,0,0,0
84321,2923,0,0,0,0.0443781,0,0.165817,0,0.84907575,0.9887862096,0.82779623,0.9891444438,0,0,1
84332,2951,0,0,0,0.0507185,0,0.431654,0,0.84232649,0.9923061381,0.81823841,0.9935729557,0,0,0
82373,2952,0,0,0,0.0363866,0,0.175326,0,0.84606376,0.990365392,0.81174425,0.9895528663,0,0,0
83999,2954,0,0,0,0.0348983,0,0.144141,0,0.84304063,0.9729146285,0.80934219,0.9733231415,0,0,0
83358,2963,0,0,0,0.166321,0,1.79409,0,0.84335896,0.9957728955,0.82007067,0.9969107538,0,0,0
84525,2964,0,0,0,0.0957379,0,0.598857,0,0.85412557,0.9928006296,0.830577,0.9928294521,0,0,0
82989,2967,0,1,0,0.11015,0,1.08877,0,0.84055697,0.9637000724,0.81501408,0.9676853428,1,0,0
85603,2968,0,0,0,0.213891,0,3.78078,0,0.84799458,0.9918701349,0.8247263,0.9938241646,0,0,0
82877,2971,0,1,0,0.0364395,0,0.0970523,0,0.83891912,0.953624144,0.80627881,0.9624600359,1,0,0
84973,2993,0,0,0,0.0508073,0,0.399075,0,0.82781607,0.9972510528,0.80148576,0.9972395665,0,0,0
81662,2995,1,1,0,0.350891,0,5.92096,0,0.83993447,0.9982559871,0.81815519,0.9989362043,0,1,0
80498,3013,0,0,0,0.0596593,0,0.638854,0,0.83886928,0.9884246459,0.81005521,0.9901207314,0,0,0
86171,3014,0,0,0,0.0654364,0,0.423674,0,0.84828706,0.9978784721,0.82519537,0.9985206585,0,0,0
83612,3015,0,0,0,0.0250871,0,0.0618131,0,0.83187896,0.994565911,0.81016617,0.9957902654,0,0,0
80208,3016,0,0,0,0.0557602,0,0.44888,0,0.83307312,0.9990216513,0.80871672,0.9994377108,0,0,0
85483,3018,0,0,0,0.028798,0,0.202986,0,0.8341443,0.9892275299,0.82098982,0.9916082388,0,0,0
82674,3020,0,0,0,0.023412,0,0.058047,0,0.84587917,0.9978625208,0.81674241,0.9983264751,0,0,0
88162,3023,0,0,0,0.0410238,0,0.177669,0,0.83221626,0.9971978817,0.80377257,0.9980424494,0,0,0
82587,3033,0,0,0,0.0356001,0,0.363838,0,0.85136358,0.9970330512,0.82642081,0.9970024182,0,0,0
85165,3034,0,0,0,0.0958561,0,0.553248,0,0.8398616,0.9804383428,0.814056,0.9785884821,0,0,0
82492,3036,0,0,0,0.0685406,0,0.374461,0,0.8527788,0.9861382875,0.83079798,0.9865079699,0,0,0
82825,3038,0,0,0,0.034438,0,0.0800183,0,0.82933997,0.9746958612,0.79738271,0.9761331477,0,0,0
84288,3039,0,0,0,0.0546448,0,0.250674,0,0.86714671,0.9899240717,0.83846049,0.9919216991,0,0,0
83616,3040,0,0,0,0.123647,0,1.76261,0,0.83133502,0.9786571101,0.80237007,0.9766602895,0,0,0
