scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
cbf-basil,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_age_unadjusted.nii.gz,0.9702072033402271
cbf-basil,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_sex_bonferroni.nii.gz,0.028631911655675656
cbf-basil,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_sex_fdr05.nii.gz,0.5500156085378702
cbf-basil,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_sex_unadjusted.nii.gz,0.6232391618215164
cbf-basil,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_bonferroni.nii.gz,0.008213993054200648
cbf-basil,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_fdr05.nii.gz,0.7931966285558201
cbf-basil,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_unadjusted.nii.gz,0.8186287899481016
reho,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_age_bonferroni.nii.gz,0.5625024388340423
reho,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_age_fdr05.nii.gz,0.9154114800796035
reho,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_age_unadjusted.nii.gz,0.9180161548366956
reho,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_sex_bonferroni.nii.gz,0.031431693136145473
reho,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_sex_fdr05.nii.gz,0.41514808600304365
reho,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_sex_unadjusted.nii.gz,0.507092129394779
reho,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_sex-age_bonferroni.nii.gz,0
reho,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_sex-age_fdr05.nii.gz,5.853201701330628e-5
reho,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASILc_REHO/output/niftis/pvals/modality_adjusted/reho_sex-age_unadjusted.nii.gz,0.06553634838256527
